c__unidentified,c__Limnochordia,c__Verrucomicrobiae,c__Melainabacteria,c__Deltaproteobacteria,c__Alphaproteobacteria,c__Clostridia,c__Sphingobacteriia,c__Betaproteobacteria,c__Gammaproteobacteria,c__Negativicutes,c__Mollicutes,c__Flavobacteriia,c__Synergistia,c__Bacteroidia,c__Actinobacteria,c__Chlamydiae,c__Anaerolineae,c__Unknown_Class,c__Spirochaetes,c__Coriobacteriia,c__Bacilli,c__Bacteroidetes_vadinHA17,c__Erysipelotrichia,c__Chloroplast,c__Epsilonproteobacteria,c__Cytophagia,c__Deferribacteres
0.001194099,0,0.000154077,0,0.122722545,0.000231116,0.57393783,0,7.70E-05,0,7.70E-05,0.001925966,0.000269635,0,0.14448596,0.000269635,0,0,3.85E-05,0,0.006702361,0.133970186,0,0.007588306,3.85E-05,0.006009014,0,0.000308155
7.70E-05,0,0,0.000115558,0.00169485,0.000423712,0.054543353,0,0.002311159,0.000154077,0,0.003466739,0,0,0.677939987,0.000346674,0,0,0.000616309,0,0.00959131,0.220600131,0,0.010900967,0.000115558,0.017064058,0,3.85E-05
0.00053927,0,3.85E-05,3.85E-05,0.111089711,0.000192597,0.552752205,3.85E-05,3.85E-05,0.000308155,0,0.002465236,3.85E-05,0,0.074573399,7.70E-05,0,0,0.030507299,0,0.014945495,0.201571588,0,0.006625323,0,0.003620816,0,0.00053927
0.000423712,0,0,0,0.055583375,0.00227264,0.37980047,0,0.000346674,0.005700859,0,0.017950002,0.000770386,0,0.433111205,3.85E-05,0,3.85E-05,0.004583799,0,0.004160086,0.06544432,0,0.000654828,0,0.019953006,0,0.009167598
3.85E-05,0,0,0,0.0169485,0,0.437656485,0,7.70E-05,0.004352683,0,0.018835946,0.000346674,0,0.255421594,0.000115558,0,0,0.01637071,0,0.018296676,0.216902276,0,0.013173607,0,0.001232618,0,0.000231116
0.000731867,0,0,0,0.183005277,0.007164593,0.300527715,0,0.000500751,0.002195601,0,0.000423712,0.000154077,0,0.470744578,0.000308155,0,0,0,0,0.000462232,0.009475752,0,0.000808906,0,0.012249143,0,0.011247641
0.000308155,0,3.85E-05,0,0.042872,3.85E-05,0.16478564,0,0.000192597,0.001232618,0,0.006240129,0.003697854,0,0.751550403,0,0,0,0.000231116,0,0.000423712,0.022148608,0,0.00057779,0,0.004160086,0,0.001502253
0.000385193,0,0.011324679,0,0.073687454,0.008050537,0.562728708,0,0.000731867,0.00227264,0,0.001656331,7.70E-05,0,0.168599052,0.000308155,0,0,0,0,0.001733369,0.066484342,0,0.002965987,0,0.092061169,0,0.006933477
0.000693348,0,0.036323716,0,0.082161704,0.020684873,0.179230384,0,0,0.001771889,0,0.00115558,0.000885944,0,0.645429683,0.00053927,0,0,0.001810408,0,0.000385193,0.012672855,0,0.000308155,0,0.015022534,0,0.000924464
0.000616309,0,0,0,0.057509341,0.002850429,0.601440622,0,0.000115558,0.001964485,0,0.001887447,0.000885944,0,0.27595239,0.000346674,0,0,0.003505258,0,0.00223412,0.02145526,0,0.00057779,0,0.021763414,0,0.006894958
0.000192597,0,3.85E-05,0,0.067447325,0,0.211239937,0,0,0.283425138,0,0.001001502,7.70E-05,0,0.069912561,0.000308155,0,0,0.006240129,0,0.002888949,0.339201109,0,0.003351181,0,0.006817919,0,0.007857941
0.000654828,0,0,0,0.126921151,0.00508455,0.471938677,0,0,0.045414275,0,0.003774893,0,0,0.178691114,3.85E-05,0,0,0.001348176,0,0.00111706,0.048572859,0,0.001309657,0,0.109741535,0,0.005392704
0.000154077,0,0,0,0.057971573,0,0.71838527,0,0.000115558,0.047763954,0,0.002965987,0.000654828,0,0.082778013,3.85E-05,0,3.85E-05,0.00508455,0,0.003351181,0.069103655,0,0.000616309,0,0.004622318,0,0.006355687
0.000423712,0,0,0,0.106467393,0.004237125,0.409614422,0,3.85E-05,0.063441316,0,0.001810408,0.000500751,0,0.296906899,0,0,0,0.001463734,0,0.00111706,0.063441316,0,0.001925966,0,0.035900004,0,0.012711375
